id,Observation1,Observation2,Observation3,Observation4,Observation5,Observation6,Observation7,Observation8
Feature00143,540,439,431,506,1641,1727,1819,1934
Feature00144,932,883,1414,1545,3121,2911,5549,5148
Feature00145,0,0,0,0,0,0,0,0
Feature00146,136,137,91,76,481,504,482,486
Feature00147,15,8,11,6,39,40,47,55
Feature00148,541,557,265,252,1773,2282,1354,1470
Feature00149,235,219,201,195,726,768,892,821
Feature00150,9,4,16,21,24,15,93,92
Feature00151,719,579,584,547,2587,2531,2847,2997
Feature00152,0,0,0,0,0,0,0,0
Feature00153,228,208,139,184,648,703,665,700
Feature00154,2,2,5,3,3,4,45,15
Feature00155,394,393,477,461,1161,1270,2128,2091
Feature00156,501,402,1612,2165,2152,1440,10239,8957
Feature00157,0,0,0,0,0,0,0,0
Feature00158,141,126,275,254,484,367,1063,972
Feature00159,32,27,60,72,128,88,228,174
Feature00160,0,0,0,0,0,0,0,0
Feature00161,7,13,39,33,50,41,105,71
Feature00162,84,75,89,85,301,317,483,486
Feature00163,15,15,33,32,30,46,75,56
Feature00164,170,149,185,196,332,372,645,531
Feature00165,11,2,3,7,18,27,17,11
Feature00166,0,0,0,0,0,0,0,0
Feature00167,44,41,44,38,93,102,136,150
Feature00168,366,313,208,216,907,971,857,792
Feature00169,9,4,12,11,10,14,35,37
Feature00170,243,216,115,102,663,790,511,526
Feature00171,182,171,168,195,487,548,651,680
Feature00172,60,45,133,140,178,123,739,396
Feature00173,257,208,182,200,926,900,1074,1032
Feature00174,202,224,310,266,514,599,1215,921
Feature00175,311,259,346,359,856,923,1444,1248
Feature00176,64,52,75,89,167,166,297,234
Feature00177,853,924,800,757,2653,2767,3280,3035
Feature00178,0,0,1,0,0,1,0,1
Feature00179,0,0,0,0,0,0,0,0
Feature00180,0,0,0,0,0,0,0,0
Feature00181,0,0,0,0,0,0,0,0
Feature00182,0,0,1,0,2,0,4,3
Feature00183,8,7,2,3,14,13,19,23
Feature00184,59,49,39,39,182,172,203,201
Feature00185,490,442,466,507,1471,1501,2080,1985
Feature00186,0,0,1,0,0,4,0,0
Feature00187,248,208,221,223,820,857,1235,1156
Feature00188,651,638,949,1119,1790,1987,3248,2989
Feature00189,13,6,14,13,44,24,73,68
Feature00190,55,61,54,67,156,164,242,202
Feature00191,92,82,146,126,216,243,461,394
Feature00192,511,394,641,709,1721,1778,3163,2938
Feature00193,15,17,26,42,107,85,242,190
Feature00194,0,0,0,0,0,0,0,0
Feature00195,147,115,167,183,496,529,810,898
Feature00196,438,359,411,440,1974,1905,2316,2564
Feature00197,56,52,79,75,247,234,380,354
Feature00198,28,27,29,18,122,103,155,126
Feature00199,54,45,65,100,190,148,441,314
Feature00200,528,403,467,576,1798,1787,2889,3006
Feature00201,116,91,58,64,384,437,321,367
Feature00202,253,202,246,324,921,880,1369,1227
Feature00203,176,119,177,163,534,562,803,777
Feature00204,1130,925,1378,1757,5016,4177,12097,11459
Feature00205,619,469,554,576,2087,2084,3181,3241
Feature00206,393,304,446,454,1722,1680,2626,2520
Feature00207,10,5,9,10,19,21,41,37
Feature00208,432,390,373,415,1347,1492,1782,1636
Feature00209,27,18,64,50,121,79,317,246
Feature00210,73,75,93,109,295,316,678,495
Feature00211,64,39,227,232,308,134,1606,1164
Feature00212,0,0,0,1,0,0,0,1
Feature00213,82,80,513,530,653,259,2257,3925
Feature00214,2,0,11,13,13,12,51,75
Feature00215,127,87,164,206,441,432,1151,898
Feature00216,52,37,105,108,168,197,690,559
Feature00217,110,97,204,196,470,481,1174,1047
Feature00218,46,31,79,88,174,151,526,539
Feature00219,66,45,157,153,300,231,778,1066
Feature00220,1023,866,1157,1319,3040,3222,4811,4691
Feature00221,26,23,18,30,61,62,107,87
Feature00222,269,213,268,311,981,991,1605,1506
Feature00223,870,624,951,1057,3204,2942,4836,5336
Feature00224,62,46,103,84,219,225,547,578
Feature00225,205,185,235,272,802,816,1315,1184
Feature00226,316,286,247,282,1367,1275,1757,1508
Feature00227,23,21,33,26,110,108,148,141
Feature00228,279,265,250,232,853,996,1157,1284
Feature00229,146,90,193,218,389,423,776,736
Feature00230,301,251,306,310,1134,1209,1624,1590
Feature00231,128,113,143,189,409,417,677,759
Feature00232,0,0,0,0,0,0,0,0
Feature00233,13,13,37,37,48,50,193,198
Feature00234,162,144,178,187,558,696,666,594
Feature00235,236,196,234,283,952,1029,1577,1532
Feature00236,117,94,75,94,412,380,510,454
Feature00237,119,95,214,285,431,375,1108,1030
Feature00238,4,4,8,5,14,18,27,36
Feature00239,83,75,11,11,352,374,113,118
Feature00240,43,28,42,42,192,211,379,306
Feature00241,1927,1482,1830,1793,6479,6674,9558,9595
Feature00242,0,1,0,0,1,2,4,4
Feature00243,1,2,0,0,3,6,8,7
Feature00244,0,0,0,0,0,0,2,0
Feature00245,217,168,163,179,865,741,916,987
Feature00246,228,195,501,600,897,800,2477,2382
Feature00247,0,1,1,2,1,1,5,4
Feature00248,18,20,22,22,103,123,126,147
Feature00249,177,123,138,140,570,619,713,785
Feature00250,32,29,23,17,111,128,149,157
Feature00251,177,159,213,221,671,555,1317,1239
Feature00252,91,78,88,98,283,324,403,412
Feature00253,3,3,1,2,7,6,14,19
Feature00254,41,45,109,117,166,134,453,375
Feature00255,0,0,0,0,0,0,3,2
Feature00256,0,0,0,0,1,0,0,0
Feature00257,1,1,0,0,1,1,0,1
Feature00258,298,283,259,273,1007,1109,1306,1258
Feature00259,23,35,33,27,103,122,108,116
Feature00260,137,108,128,109,436,346,720,710
Feature00261,2,2,0,3,5,8,13,14
Feature00262,0,0,0,0,0,1,0,1
Feature00263,68,61,73,53,236,206,276,270
Feature00264,10,8,13,17,13,22,64,51
Feature00265,4,4,5,5,20,15,43,41
Feature00266,15,13,79,75,95,64,657,590
Feature00267,23,12,3,2,49,50,12,10
Feature00268,139,80,136,112,377,421,637,662
Feature00269,250,201,332,269,797,838,1219,1207
Feature00270,22,19,24,25,118,72,251,117
Feature00271,1383,1130,1126,1115,5057,4925,6951,6923
Feature00272,29,24,69,63,94,111,341,342
Feature00273,65,42,74,83,214,215,515,515
Feature00274,25,20,29,23,86,90,102,117
Feature00275,0,0,0,0,0,0,0,0
Feature00276,103,73,62,79,299,314,328,372
Feature00277,208,142,209,182,805,816,1429,1547
Feature00278,1176,1035,964,1079,3922,3879,5275,5121
Feature00279,54,43,43,56,186,179,217,230
Feature00280,550,502,640,615,1696,1884,2998,2791
Feature00281,7,11,6,5,33,38,32,47
Feature00282,8,10,27,20,32,20,77,63
Feature00283,13,9,7,1,51,64,7,23
Feature00284,41,22,34,21,99,100,156,150
Feature00285,1516,1284,543,517,4978,5110,2376,3063
Feature00286,798,769,778,746,2832,2814,3625,3301
Feature00287,16,19,13,11,62,62,52,59
Feature00288,3,3,7,3,20,23,47,18
Feature00289,0,0,0,0,0,0,0,0
Feature00290,150,99,287,315,584,486,1359,1261
Feature00291,0,0,0,1,0,0,0,0
Feature00292,1086,957,1386,1562,3722,3502,6589,6196
Feature00293,801,694,378,399,2374,2747,2331,2518
Feature00294,5,3,2,1,9,13,15,13
Feature00295,153,129,95,95,502,498,489,606
Feature00296,180,133,203,157,511,524,719,661
Feature00297,2,2,5,3,6,4,13,14
Feature00298,15,3,21,60,86,27,179,136
Feature00299,3,4,15,15,28,10,53,15
Feature00300,300,261,278,304,815,792,1290,1279
Feature00301,175,151,137,154,633,642,888,923
Feature00302,79,59,71,64,283,270,418,367
Feature00303,116,81,213,239,397,358,938,1033
Feature00304,284,227,534,485,962,745,2256,2302
Feature00305,16875,13458,17420,17574,64011,62841,88442,92841
Feature00306,39,21,73,77,226,139,315,289
Feature00307,4342,3120,2645,2417,16807,16554,16588,19942
Feature00308,147,163,93,102,425,502,470,486
Feature00309,154,130,202,196,525,597,803,797
Feature00310,88,73,78,88,305,274,386,418
Feature00311,428,388,463,575,2125,2053,2168,2122
Feature00312,503,419,1597,1659,1449,1537,7927,5823
Feature00313,8,11,13,18,16,20,20,35
Feature00314,144,153,189,214,411,440,631,568
Feature00315,6,2,1,3,7,12,10,13
Feature00316,587,512,970,1127,1529,1534,3224,2885
Feature00317,166,153,168,161,470,539,517,614
Feature00318,85,74,107,87,235,245,433,406
Feature00319,44,37,59,43,153,142,236,222
Feature00320,15,10,16,14,60,53,98,98
Feature00321,1,1,0,0,2,7,0,1
Feature00322,0,2,0,0,0,0,0,1
Feature00323,169,146,296,249,449,441,801,703
Feature00324,58,39,46,40,197,193,188,184
Feature00325,638,493,814,965,2095,2172,3578,3771
Feature00326,1,0,0,2,7,3,1,4
Feature00327,22,24,25,37,53,52,89,102
Feature00328,1012,860,2266,2658,3230,2690,10155,9529
Feature00329,263,261,343,387,821,807,1816,1625
Feature00330,175,139,100,112,440,528,496,534
Feature00331,4,1,2,4,4,6,28,27
Feature00332,3,0,1,2,1,2,5,5
Feature00333,32,13,21,19,83,76,87,101
Feature00334,604,448,293,324,1973,2110,1776,1839
Feature00335,272,229,232,211,740,779,1081,1051
Feature00336,96,99,152,160,327,317,636,508
Feature00337,144,104,271,220,422,268,1043,844
Feature00338,100,88,41,52,238,275,232,199
Feature00339,0,0,0,0,0,0,0,0
Feature00340,0,0,0,0,0,0,0,0
Feature00341,9,3,2,2,9,7,13,13
Feature00342,0,0,0,0,0,0,0,0
Feature00343,7,0,7,4,9,16,23,16
Feature00344,10,7,39,46,22,21,230,232
Feature00345,51,40,37,43,150,120,217,259
Feature00346,18,16,37,36,45,32,157,130
Feature00347,8,7,26,15,41,40,77,80
Feature00348,8,13,4,5,25,28,37,35
Feature00349,302,257,123,116,917,1005,496,520
Feature00350,97,93,120,169,443,379,797,711
Feature00351,402,376,880,1254,870,878,4929,4217
Feature00352,1,0,0,1,6,4,5,3
Feature00353,399,297,666,744,994,864,2656,2131
Feature00354,333,306,465,463,919,887,1745,1512
Feature00355,9,1,3,5,5,8,21,18
Feature00356,80,63,113,114,281,242,551,599
Feature00357,6,6,8,6,17,11,24,19
Feature00358,23,37,152,133,143,60,624,457
Feature00359,40,30,49,45,146,168,222,218
Feature00360,1904,1952,1663,1635,5608,6034,7587,6564
Feature00361,49,52,35,35,230,243,166,210
Feature00362,128,150,74,48,590,611,355,431
Feature00363,163,130,204,224,465,491,807,879
Feature00364,26,17,19,27,88,100,121,130
Feature00365,394,264,303,308,1480,1341,1760,1798
Feature00366,193,159,200,226,797,694,1457,1365
Feature00367,368,321,382,350,980,1038,1470,1381
Feature00368,0,0,0,0,0,0,0,0
Feature00369,1,0,1,0,0,0,0,0
Feature00370,20,24,45,45,57,69,204,231
Feature00371,326,255,160,139,1209,1204,906,1017
Feature00372,1,1,1,0,5,9,7,7
Feature00373,418,334,632,645,1538,1440,2978,2917
Feature00374,682,523,861,884,2612,2671,4422,4490
Feature00375,11,7,52,48,59,29,237,230
Feature00376,15,10,26,28,54,33,373,222
Feature00377,1522,1155,796,794,5059,5399,4096,4478
Feature00378,208,146,268,222,769,702,1166,1239
Feature00379,120,91,85,78,455,413,529,616
Feature00380,53,21,66,74,151,120,447,358
Feature00381,6,2,3,1,6,4,39,30
Feature00382,264,200,97,88,1068,1054,502,595
Feature00383,26,23,54,63,100,73,423,419
Feature00384,0,0,0,0,0,0,0,0
Feature00385,0,0,0,0,0,0,4,1
Feature00386,4,4,7,8,8,4,44,37
Feature00387,376,444,684,663,1028,1038,2274,1718
Feature00388,0,0,1,1,2,4,6,5
Feature00389,38,19,42,41,216,191,447,398
Feature00390,0,0,0,0,0,0,0,0
Feature00391,0,0,0,0,0,0,0,0
Feature00392,9,23,44,30,46,46,185,87
Feature00393,58,39,38,55,120,156,236,233
Feature00394,2,2,1,1,1,1,3,2
Feature00395,0,0,0,0,0,0,0,0
Feature00396,0,0,0,0,0,0,0,0
Feature00397,0,0,0,0,0,0,0,0
Feature00398,0,0,0,0,0,0,0,0
Feature00399,0,0,0,0,0,0,0,0
Feature00400,0,0,0,0,0,0,0,0
Feature00401,0,0,0,0,0,0,0,0
Feature00402,0,0,0,0,1,4,1,0
Feature00403,83,60,54,52,233,224,356,330
Feature00404,0,1,0,0,0,1,0,1
Feature00405,0,0,0,0,0,0,0,0
Feature00406,8,7,3,6,33,36,24,46
Feature00407,0,0,0,0,0,0,0,1
Feature00408,6041,4922,4276,4436,20613,20586,20096,24876
Feature00409,26,21,25,26,46,66,99,122
Feature00410,131,90,159,126,359,380,770,762
Feature00411,23,24,9,20,30,48,53,43
Feature00412,32,34,38,44,107,100,174,190
Feature00413,747,588,653,581,2370,2509,2841,3110
Feature00414,14,24,8,15,96,84,62,55
Feature00415,3,3,17,12,10,8,60,51
Feature00416,0,0,0,0,0,0,0,0
Feature00417,10,6,10,4,29,29,43,43
Feature00418,58,55,101,99,235,256,540,560
Feature00419,4,2,5,14,8,9,15,39
Feature00420,0,0,0,0,1,0,4,1
Feature00421,24,6,11,23,38,70,86,81
Feature00422,1135,1122,1323,1326,2990,2992,4386,3480
Feature00423,489,410,399,428,1953,1827,2433,2636
Feature00424,595,460,581,636,2172,2019,2940,3243
Feature00425,0,0,0,0,0,0,0,0
Feature00426,54,36,51,54,166,192,347,313
Feature00427,27,25,23,21,93,89,73,95
Feature00428,254,190,301,360,940,884,1410,1506
Feature00429,125,108,86,95,487,524,581,588
Feature00430,366,274,319,309,1027,740,2228,1398
Feature00431,220,212,207,173,594,634,761,701
Feature00432,39,41,49,68,189,194,363,286
Feature00433,109,103,95,66,248,278,421,362
Feature00434,428,348,184,201,1372,1544,941,1107
Feature00435,193,204,94,94,844,645,633,630
Feature00436,127,126,233,316,371,334,1300,848
Feature00437,239,201,550,527,849,819,2763,2650
Feature00438,37,30,55,73,127,117,256,260
Feature00439,0,0,0,0,0,0,0,0
Feature00440,6536,5131,6535,6847,26611,25749,36797,42992
Feature00441,492,487,407,400,1053,1232,1209,1102
Feature00442,127,121,144,167,393,377,844,719
Feature00443,25,49,33,40,124,110,163,112
Feature00444,1419,1076,1420,1409,5027,5297,7591,8183
Feature00445,79,69,95,133,243,279,642,472
Feature00446,454,405,500,547,1713,1636,2701,2714
Feature00447,80,70,68,68,271,259,404,382
Feature00448,109,98,102,104,416,379,491,523
Feature00449,8,2,10,12,32,21,83,63
Feature00450,4,0,4,1,7,7,8,7
Feature00451,0,0,1,1,0,2,5,3
Feature00452,100,91,93,91,457,495,594,572
Feature00453,1525,1283,929,890,4523,5386,4620,5476
Feature00454,300,215,407,486,984,992,1768,1888
Feature00455,339,288,596,619,1420,1278,3127,2746
Feature00456,2,1,12,9,19,9,65,60
Feature00457,4,5,14,10,16,10,62,62
Feature00458,663,492,469,482,2365,2439,2605,2851
Feature00459,0,0,0,0,0,0,0,0
Feature00460,469,378,406,412,1621,1611,2122,2249
Feature00461,97,75,101,95,278,335,451,455
Feature00462,8,5,11,5,15,20,32,26
Feature00463,1291,1003,1221,1334,5162,4836,6630,7263
Feature00464,2581,2047,2868,2948,10325,10114,16612,15637
Feature00465,25,23,90,80,108,85,370,365
Feature00466,0,1,1,5,6,5,20,21
Feature00467,2,1,8,3,4,5,47,34
Feature00468,4,3,14,11,13,10,28,33
Feature00469,7,9,35,50,45,46,167,174
Feature00470,0,0,0,0,0,0,0,0
Feature00471,1221,931,476,433,3796,4322,2388,2972
Feature00472,0,0,0,0,1,1,1,0
Feature00473,85,83,132,152,234,255,414,379
Feature00474,723,539,601,637,2677,2654,3434,3807
Feature00475,0,0,0,0,0,0,0,0
Feature00476,79,87,62,66,255,241,359,316
Feature00477,0,0,0,0,0,1,1,2
Feature00478,0,0,0,0,0,0,0,0
Feature00479,0,1,0,0,1,0,1,0
Feature00480,503,401,380,426,1424,1536,2016,1669
Feature00481,1,2,6,1,14,6,24,11
Feature00482,605,587,456,464,2271,2111,2039,2140
Feature00483,137,122,112,130,350,372,516,434
Feature00484,139,117,124,143,606,635,742,767
Feature00485,18,14,5,7,76,67,18,36
Feature00486,0,0,0,0,0,0,0,0
Feature00487,367,387,446,420,1373,1269,2080,2132
Feature00488,0,0,1,1,1,1,0,2
Feature00489,0,1,1,1,0,2,0,1
Feature00490,407,339,359,460,1396,1311,1796,1870
Feature00491,242,210,101,89,828,772,443,535
Feature00492,282,247,226,219,944,1020,1048,1090
Feature00493,0,0,1,1,1,2,8,2
Feature00494,3,0,1,0,3,1,2,2
Feature00495,62,41,87,112,203,197,362,350
Feature00496,168,146,278,291,551,486,1279,1100
Feature00497,174,130,188,176,523,541,625,733
Feature00498,2549,2397,1265,1167,7626,7923,5741,6105
Feature00499,147,130,182,173,619,614,885,1004
Feature00500,0,0,0,0,0,0,0,0
Feature00501,0,0,1,0,3,0,5,3
Feature00502,27,29,70,61,126,90,703,431
Feature00503,31,21,38,50,66,78,176,201
Feature00504,272,247,202,178,824,788,912,896
Feature00505,62,52,145,190,256,186,725,638
Feature00506,188,142,104,108,645,669,464,584
Feature00507,13,25,9,15,87,85,179,140
Feature00508,23,20,18,27,77,70,156,115
Feature00509,0,2,6,5,6,11,17,16
Feature00510,1634,1451,1796,1809,4646,4961,6479,6446
Feature00511,48,42,66,71,174,145,375,382
Feature00512,83,82,75,70,234,257,382,406
Feature00513,862,785,553,536,4281,2899,2799,3278
Feature00514,60,76,116,116,278,276,524,549
Feature00515,35,31,32,42,139,131,235,191
Feature00516,67,72,65,67,210,224,270,222
Feature00517,61,68,100,92,192,194,366,325
Feature00518,2,0,2,1,2,1,1,6
Feature00519,95,78,81,62,314,321,304,275
Feature00520,38,28,33,25,121,130,119,145
Feature00521,545,506,463,496,2323,2130,3246,3359
Feature00522,170,151,158,180,797,750,1158,1046
Feature00523,180,149,148,157,569,468,904,774
Feature00524,50,43,57,96,148,142,307,222
Feature00525,0,1,2,3,1,3,2,0
Feature00526,0,0,0,0,0,0,1,1
Feature00527,0,0,1,0,0,1,0,1
Feature00528,261,206,67,66,686,808,352,415
Feature00529,0,0,0,0,0,0,0,0
Feature00530,17,23,18,18,50,58,109,103
Feature00531,47,51,46,68,205,202,238,255
Feature00532,4,7,6,8,27,28,43,29
Feature00533,1,0,0,1,0,3,4,3
Feature00534,0,0,0,0,0,0,0,0
Feature00535,9,16,5,10,41,44,28,29
Feature00536,267,204,206,206,676,939,1233,1300
Feature00537,272,187,65,32,905,985,333,365
Feature00538,26,16,37,43,84,95,163,126
Feature00539,839,698,709,604,3588,3326,4036,4500
Feature00540,474,416,304,326,1592,1709,1656,1718
Feature00541,0,0,0,0,0,0,0,0
Feature00542,0,0,0,0,1,0,1,0
Feature00543,126,101,157,185,466,459,886,873
Feature00544,376,302,181,191,1384,1391,1120,1245
Feature00545,623,498,338,364,2421,2398,2014,2350
Feature00546,0,0,0,0,1,0,0,0
Feature00547,29,28,50,45,117,110,181,169
Feature00548,29,14,30,32,109,75,171,200
Feature00549,29,27,30,37,112,92,160,133
Feature00550,45,54,68,53,179,194,241,215
Feature00551,0,2,0,0,5,4,6,8
Feature00552,252,183,106,94,990,970,631,838
Feature00553,186,137,145,152,515,483,601,717
Feature00554,310,197,292,335,1130,1019,1723,1711
Feature00555,111,111,129,137,344,359,560,615
Feature00556,649,576,718,704,2444,2594,3980,3810
Feature00557,171,141,418,525,818,607,2690,2593
Feature00558,36,34,28,31,141,191,271,216
Feature00559,32,23,48,60,80,106,246,242
Feature00560,811,590,921,1011,2833,3059,3842,4872
Feature00561,727,560,1363,1445,2293,2044,4502,4466
Feature00562,1,0,1,1,1,1,8,0
Feature00563,10,9,16,8,34,53,41,68
Feature00564,214,157,172,177,804,817,1074,1059
Feature00565,1579,1182,1421,1495,7282,6372,11029,9855
Feature00566,0,0,0,0,1,3,9,2
Feature00567,402,329,202,188,1875,2080,1418,1694
Feature00568,326,222,124,125,839,1007,606,743
Feature00569,171,150,269,318,618,653,1512,1193
Feature00570,736,555,449,458,2387,2445,2438,2640
Feature00571,15,11,48,65,84,94,256,181
Feature00572,0,0,0,0,0,0,0,0
Feature00573,18,10,23,21,64,68,92,93
Feature00574,0,1,0,0,0,0,1,0
Feature00575,0,1,0,0,0,0,0,0
Feature00576,0,0,0,0,0,0,0,0
Feature00577,0,0,0,0,0,0,0,0
Feature00578,1317,1160,769,852,3830,4168,4896,4968
Feature00579,3,0,0,0,4,5,6,2
Feature00580,187,181,210,233,486,552,902,805
Feature00581,126,95,100,96,350,379,473,496
Feature00582,230,163,154,126,746,729,832,872
Feature00583,104,83,87,91,295,312,388,421
Feature00584,0,0,0,1,0,2,1,0
Feature00585,73,75,96,86,221,256,369,388
Feature00586,224,197,178,222,804,758,1077,1150
Feature00587,186,137,126,145,401,442,475,483
Feature00588,14,14,2,3,38,37,8,14
Feature00589,62,45,72,106,171,186,288,269
Feature00590,263,187,249,255,933,922,1464,1658
Feature00591,174,124,128,164,614,596,697,745
Feature00592,0,2,0,0,2,1,10,8
Feature00593,51,76,121,112,390,260,972,671
Feature00594,508,473,484,496,1660,1737,2121,2234
Feature00595,203,196,177,151,467,552,633,568
Feature00596,776,701,1126,1145,2023,2091,4418,3627
Feature00597,129,115,172,178,597,507,925,899
Feature00598,319,294,435,453,1089,1096,1995,2135
Feature00599,393,309,273,287,1630,1565,1705,1846
Feature00600,213,149,191,203,619,665,709,810
Feature00601,114,93,154,184,374,404,620,600
